Trial,Seperation,Sep_Unc,Frequency,Freq_Unc,Transmission,Tran_Unc
1,2,1/16,106.5,0,-7.34,0
2,3,1/16,106.0,0,-9.72,0
3,4,1/16,106.4,0,-11.36,0
4,5,1/16,106.3,0,-12.83,0
5,0,1/16,110.2,0,-3.62,0
6,0.5,1/16,108.3,0,-4.76,0
7,1,1/16,107.7,0,-5.81,0
8,1.5,1/16,106.8,0,-6.93,0
9,0.25,1/16,108.4,0,-4.38,0
