Trial,Seperation,Sep_Unc,Frequency,Freq_Unc,Transmission,Tran_Unc
1,6,1/16,104.9,0,-2.80,0
2,6,1/16,104.8,0,-2.84,0
3,6,1/16,104.8,0,-2.65,0
4,6,1/16,104.8,0,-2.73,0
5,6,1/16,104.7,0,-2.86,0
