Trial,Seperation,Sep_Unc,Frequency,Freq_Unc,Transmission,Tran_Unc
2,3,1/16,104.6,0,-1.45,0
3,6,1/16,104.0,0,-2.80,0
4,9,1/16,103.4,0,-4.14,0
5,2,1/16,104.9,0,-1.06,0
6,4,1/16,103.9,0,-1.98,0
8,0,1/16,112.2,0,-0.76,0
9,0.5,1/16,109.1,0,-0.78,0
10,1,1/16,107.4,0,-0.81,0
11,2.5,1/16,105.7,0,-1.30,0
