Trial,Seperation,Sep_Unc,Frequency,Freq_Unc,Transmission,Tran_Unc
1,2,1/16,106.7,0,-7.68,0
2,3,1/16,106.3,0,-9.55,0
3,5,1/16,106.0,0,-12.69,0
